suj,fix_duration_mean_A,fix_duration_mean_B,fix_duration_median_A,fix_duration_median_B,number_of_fix_A,number_of_fix_B,sacc_duration_mean_A,sacc_duration_mean_B,sacc_duration_median_A,sacc_duration_median_B,number_of_sacc_A,number_of_sacc_B,explorative_A,explorative_B,monitoring_A,monitoring_B,planning_A,planning_B,first_fixation_time_A,first_fixation_time_B
0093,317.8253106367096,342.5333930619645,286.5,291.44444444444446,41.5,58.55555555555556,20.903281378083825,20.781350567185658,20.0,19.333333333333332,40.9,54.111111111111114,6.7,5.3,4.2,8.8,17.3,27.2,382.4,449.4
0094,282.657502975832,267.45716768764254,251.11111111111111,217.25,64.66666666666667,74.75,24.50118778337721,25.295910947712418,21.333333333333332,21.75,66.44444444444444,79.25,3.3,5.0,5.3,8.3,31.3,46.8,409.3333333333333,276.2
0097,267.70960233658104,269.5558875070608,215.1,217.5,53.7,68.66666666666667,28.45630825772075,24.882911167941888,25.1,23.5,56.1,68.83333333333333,2.6,2.3,8.1,3.6,26.0,20.6,481.6,236.0
0099,267.7123395309511,252.4520357455573,224.8,203.5,54.3,77.8,27.600660951208436,27.4744724133432,24.2,24.6,54.9,74.1,3.7,4.2,8.8,8.5,20.1,35.1,236.8,272.4
0006,318.0269045541147,338.6739952850699,237.14285714285714,285.5,26.142857142857142,46.166666666666664,24.61902528688243,21.119105300289508,21.142857142857142,18.666666666666668,24.0,47.0,1.7,2.0,1.5,2.2,8.1,9.3,617.2,687.2
0007,348.1138652331275,358.99701740675374,287.0,322.3333333333333,51.75,42.0,24.001667750592425,21.969862821426613,21.5,20.6,53.75,42.0,6.2,4.2,4.7,4.6,22.6,24.6,472.0,573.1111111111111
0018,367.8750284640833,333.6472796726841,306.0,285.8,31.4,53.7,25.166031746031745,23.581223188137272,22.2,21.2,31.1,54.0,3.9,8.2,4.9,6.8,11.4,16.0,446.2,404.44444444444446
0021,306.3836310579609,291.2444988185531,245.4,226.42857142857142,42.1,63.42857142857143,24.29086225442832,24.778084208644177,21.6,22.571428571428573,44.0,64.14285714285714,3.0,3.6,6.0,7.8,18.8,28.9,355.3333333333333,476.2
0022,337.7526580304045,298.1626274223965,272.6,249.11111111111111,46.5,63.0,22.70320905037778,22.805643031917555,20.9,20.666666666666668,49.5,66.88888888888889,3.8,3.3,4.0,5.7,23.5,38.0,322.4,337.0
0026,360.1746876443218,363.6041041991937,327.6,310.8,43.7,51.6,21.563968892908026,21.609080441425984,20.0,19.5,44.8,51.8,4.4,2.8,4.8,4.2,18.2,20.1,310.6,257.6
0029,349.4416626250893,326.36440623502654,292.4,268.77777777777777,43.4,53.22222222222222,23.935204994828013,22.487690886960042,20.6,20.444444444444443,40.5,48.55555555555556,5.1,3.9,1.6,1.6,22.1,32.8,320.0,359.8
0031,299.6513187071133,286.2022263639882,232.2,237.75,44.8,63.125,21.869208244712276,22.286661120122336,20.6,20.625,50.5,65.5,6.6,12.0,3.6,7.0,22.0,29.8,363.2,366.4
0032,264.94917838614055,271.3549023353434,222.8,230.3,37.8,55.8,23.681794284545767,24.726565856275087,21.6,21.5,38.6,58.0,3.7,3.3,5.8,7.1,12.8,20.3,356.2,269.2
0034,307.30181897474694,292.3633350852338,236.0,224.1,45.6,54.8,28.400926736291794,27.44020582680591,23.4,23.1,55.3,62.3,3.6,3.1,5.4,5.7,21.1,24.6,437.8,366.4
0035,399.3732998569721,380.01945816713527,334.3,331.8888888888889,35.8,44.55555555555556,19.18353770412594,19.021107937061057,17.8,18.11111111111111,39.0,48.22222222222222,6.8,4.8,3.3,4.6,14.1,21.5,368.6,511.6
0036,262.15692024961726,245.62468570112736,219.88888888888889,208.0,58.111111111111114,75.6,22.347965183831427,25.271059930788812,21.555555555555557,22.0,56.888888888888886,74.3,5.3,10.9,4.6,3.9,23.6,27.5,499.1111111111111,358.8
0037,361.97519488174663,337.2178740205907,291.2,265.8,33.0,42.4,22.571562315542934,22.41059367290158,20.7,21.2,34.2,42.7,6.6,4.7,5.5,6.2,9.4,15.0,473.4,534.6
0040,331.3457495687856,350.1898431024691,284.1,295.1,53.5,56.6,22.831003238194157,23.21736172052254,21.5,22.4,54.7,57.9,5.5,5.5,6.6,5.5,23.5,27.7,390.4,409.2
0041,318.1707489768315,304.0202050021771,268.1,256.8,41.0,55.7,20.926337517459324,21.341547539100347,19.4,20.0,41.3,57.2,3.7,4.3,4.9,5.1,18.8,24.2,478.0,315.2
0043,298.35203904341,280.97457223522343,241.88888888888889,232.66666666666666,46.44444444444444,67.0,21.664965619140744,21.731743048842105,18.88888888888889,19.555555555555557,47.22222222222222,65.77777777777777,4.4,3.8,5.7,9.2,20.0,35.6,287.6,190.0
0044,367.89974207444766,342.39146258162407,321.3333333333333,311.5,43.44444444444444,56.2,22.231470622443457,21.94372015231037,19.77777777777778,20.0,45.55555555555556,57.4,5.5,4.0,5.4,3.6,20.6,23.6,453.2,519.2
0063,281.8680159656774,270.0502902270278,232.1,236.33333333333334,39.6,54.22222222222222,20.819579745367307,21.8560360661646,19.6,19.77777777777778,39.5,54.666666666666664,4.9,8.5,4.6,4.5,16.6,22.5,407.8,328.0
0070,336.23508628175057,289.48099568166833,286.44444444444446,246.0,38.44444444444444,54.4,21.30918867046318,23.488535846267105,19.77777777777778,20.9,38.666666666666664,55.2,3.7,3.2,1.4,1.2,21.4,24.1,249.2,356.0
0078,370.84676513327275,327.81322116839476,306.1,268.0,36.7,57.5,18.691471230588878,19.378104992157944,18.4,18.75,37.2,57.0,3.3,3.2,6.1,5.6,14.6,35.0,292.4,393.6
0079,259.89738326066595,270.77041182175725,200.8,216.88888888888889,47.7,50.888888888888886,29.14707035321353,29.810918050313873,22.4,24.666666666666668,51.1,58.0,4.6,4.6,1.6,1.8,26.9,28.8,678.2,490.2
0083,343.66447376884923,292.68939363908544,281.3,253.5,50.4,53.625,24.465870020828003,23.633114115211303,23.8,22.75,47.6,52.125,5.1,5.3,2.5,2.7,24.5,28.2,190.0,329.8
0084,306.6129115766542,274.21352202346833,243.4,234.5,40.8,51.375,22.371390551381186,22.007714013360815,21.2,21.875,40.9,53.0,4.8,2.6,4.8,4.6,21.6,35.2,396.2,426.4
0085,371.2773693262988,348.83942408212914,330.55555555555554,326.375,46.111111111111114,51.5,22.01960835616298,20.255969829955344,20.555555555555557,18.625,48.111111111111114,56.125,5.0,5.5,2.7,1.8,24.6,28.8,470.0,441.6
0086,367.55822574785344,353.9332301608717,317.75,312.125,49.375,57.625,22.449827165588037,23.15531991596223,20.25,20.0,44.625,49.0,7.5,10.3,2.5,5.3,22.7,25.8,291.3333333333333,287.4
0087,303.9070785031902,298.27808557241343,256.0,256.22222222222223,40.6,41.44444444444444,23.002302381199726,21.689223545918594,20.8,20.555555555555557,39.4,40.22222222222222,7.1,5.5,0.9,0.3,22.2,24.2,457.2,334.8888888888889
0089,381.92460785510787,378.04036049662824,299.2,304.2,31.4,40.3,20.601170112555728,19.685499853761787,19.2,19.1,32.9,40.2,5.7,5.1,3.5,3.6,12.4,14.7,314.8888888888889,236.4
0091,301.7460330429983,240.17979557717518,232.4,196.875,40.6,57.5,29.685548008883334,29.75123455678679,23.1,23.25,39.8,54.5,9.3,9.1,1.5,2.3,16.1,33.8,192.8,369.2
0101,322.0417356100952,324.58929476342746,266.4,273.1111111111111,42.7,56.44444444444444,21.436684905443,21.207347436084625,18.7,19.333333333333332,45.5,55.888888888888886,1.3,1.2,3.5,3.8,25.8,27.7,501.0,314.6
